City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,Date
Kulhudhuffushi,6.6221,73.07,83.03,74,100,18.41,MV,1627004522
Cleethorpes,53.5605,-0.0323,61.97,88,90,9.22,GB,1627004523
Saint Paul Harbor,57.79,-152.4072,54.91,88,90,17.27,US,1627004270
Nha Trang,12.25,109.1833,87.8,57,100,3.94,VN,1627004523
Vila Franca do Campo,37.7167,-25.4333,64.81,83,17,4.79,PT,1627004523
Gold Coast,-28.0,153.4333,67.17,68,90,1.99,AU,1627004524
Weihai,37.5017,122.1136,81.12,70,66,3.58,CN,1627004524
Qaanaaq,77.484,-69.3632,42.37,73,5,4.54,GL,1627004359
Kapaa,22.0752,-159.319,87.78,82,75,3.0,US,1627004524
Shīeli,44.1667,66.75,82.11,31,0,7.83,KZ,1627004525
Auki,-8.7676,160.7034,83.97,71,37,4.29,SB,1627004525
Cape Town,-33.9258,18.4232,46.11,79,0,1.01,ZA,1627004412
Muros,42.7762,-9.0603,64.9,87,98,5.28,ES,1627004525
Rimbey,52.6334,-114.2353,66.04,69,0,4.23,CA,1627004526
Haines Junction,60.7522,-137.5108,66.15,42,11,12.66,CA,1627004526
Kushima,31.4583,131.2333,83.71,85,100,14.36,JP,1627004526
Meulaboh,4.1363,96.1285,80.94,76,47,2.06,ID,1627004321
Saskylakh,71.9167,114.0833,67.37,63,57,9.22,RU,1627004409
San Luis,-33.295,-66.3356,54.19,35,100,4.94,AR,1627004527
Olafsvik,64.8945,-23.7142,52.16,97,100,11.5,IS,1627004299
Geilo,60.5333,8.2076,57.7,80,8,2.46,NO,1627004527
Presidente Franco,-25.5333,-54.6167,63.36,82,0,4.61,PY,1627004527
Thompson,55.7435,-97.8558,80.76,54,75,8.05,CA,1627004528
Vaini,-21.2,-175.2,80.76,78,20,5.75,TO,1627004528
East London,-33.0153,27.9116,52.41,70,96,20.13,ZA,1627004320
Hasaki,35.7333,140.8333,88.29,68,84,7.45,JP,1627004395
Bambous Virieux,-20.3428,57.7575,70.21,77,20,12.66,MU,1627004528
Coruripe,-10.1256,-36.1756,72.52,83,6,10.51,BR,1627004529
Yerbogachën,61.2767,108.0108,71.6,58,25,3.31,RU,1627004529
Mormugao,15.4,73.8,80.31,86,100,22.77,IN,1627004529
Ancud,-41.8697,-73.8203,46.22,83,100,7.11,CL,1627004529
Saint-Philippe,-21.3585,55.7679,65.75,78,45,12.41,RE,1627004329
Iranshahr,27.2025,60.6848,87.89,42,0,4.97,IR,1627004530
Krasnaya Gora,52.9995,31.6023,57.11,75,39,7.05,RU,1627004530
Puerto Ayora,-0.7393,-90.3518,72.55,88,100,5.99,EC,1627004530
Port Hardy,50.6996,-127.4199,60.98,67,75,5.75,CA,1627004531
Illapel,-31.6308,-71.1653,58.42,57,88,1.77,CL,1627004531
Mount Isa,-20.7333,139.5,76.77,22,10,9.22,AU,1627004531
Asău,46.4333,26.4,59.76,91,14,4.41,RO,1627004532
Souillac,-20.5167,57.5167,70.36,77,20,12.66,MU,1627004532
Tambun,-6.2641,107.0712,86.49,94,40,3.44,ID,1627004532
Ugoofaaru,5.6667,73.0,82.63,74,100,16.62,MV,1627004533
Xining,36.6167,101.7667,74.16,52,76,0.96,CN,1627004455
Juba,4.8517,31.5825,69.06,90,31,2.42,SS,1627004533
Arraial do Cabo,-22.9661,-42.0278,57.16,100,40,0.0,BR,1627004533
Vredendal,-31.6683,18.5012,45.32,62,2,10.98,ZA,1627004534
Colorado,-22.8375,-51.9731,58.82,36,0,7.14,BR,1627004415
Carnarvon,-24.8667,113.6333,64.47,70,96,4.61,AU,1627004306
Leningradskiy,69.3833,178.4167,39.65,81,100,11.01,RU,1627004506
Mahébourg,-20.4081,57.7,70.25,77,20,12.66,MU,1627004534
Northam,51.0333,-4.2167,69.1,79,100,8.05,GB,1627004534
Imbituba,-28.24,-48.6703,59.83,88,2,10.38,BR,1627004365
Ponta do Sol,32.6667,-17.1,73.0,80,11,7.85,PT,1627004339
Yellowknife,62.456,-114.3525,61.32,100,90,6.91,CA,1627004535
Luena,-11.7833,19.9167,51.62,27,20,7.63,AO,1627004535
Vila do Maio,15.1333,-23.2167,77.79,82,99,12.86,CV,1627004535
Fayaoué,-20.65,166.5333,74.05,79,93,9.89,NC,1627004536
Cayenne,4.9333,-52.3333,79.09,86,20,2.3,GF,1627004536
Roald,62.5833,6.1333,55.9,87,90,8.05,NO,1627004536
Meridian,43.6121,-116.3915,93.52,22,1,1.01,US,1627004432
Esperance,-33.8667,121.9,55.24,60,91,25.84,AU,1627004537
Mareeba,-17.0,145.4333,81.32,65,26,2.37,AU,1627004537
Geraldton,-28.7667,114.6,61.21,88,75,13.8,AU,1627004537
Longyearbyen,78.2186,15.6401,42.64,87,75,17.27,SJ,1627004538
Gawler,-34.6,138.7333,54.91,89,67,6.96,AU,1627004538
Klaksvík,62.2266,-6.589,47.32,93,92,10.42,FO,1627004266
Bluff,-46.6,168.3333,50.81,64,84,10.56,NZ,1627004538
Chokurdakh,70.6333,147.9167,54.72,46,1,8.59,RU,1627004539
Husavik,66.0449,-17.3389,53.51,76,74,4.94,IS,1627004539
Saint George,37.1041,-113.5841,88.27,56,75,7.0,US,1627004461
Albany,42.6001,-73.9662,69.67,65,100,8.75,US,1627004357
Banda Aceh,5.5577,95.3222,83.79,71,100,14.76,ID,1627004057
Doha,25.2867,51.5333,98.91,48,0,3.44,QA,1627004461
Nanortalik,60.1432,-45.2371,43.77,93,99,6.51,GL,1627004540
Yilan,24.757,121.753,87.66,99,100,16.24,TW,1627004540
Deputatsky,69.3,139.9,60.35,53,36,7.34,RU,1627004540
Gimli,50.6336,-96.9907,83.43,88,1,3.44,CA,1627004541
Port Alfred,-33.5906,26.891,52.07,69,89,20.87,ZA,1627004275
La Libertad,-2.2333,-80.9,69.46,94,75,11.5,EC,1627004541
São Félix do Xingu,-6.6447,-51.995,77.65,50,84,2.26,BR,1627004541
Kutum,14.2,24.6667,70.92,73,83,8.95,SD,1627004013
Saint-Joseph,-21.3667,55.6167,64.76,75,22,11.79,RE,1627004335
Itarema,-2.9248,-39.9167,79.11,80,2,17.6,BR,1627004542
Abū Zabad,12.35,29.25,76.77,76,100,8.1,SD,1627004542
Sioux Lookout,50.1001,-91.917,73.78,73,40,9.22,CA,1627004542
Saquena,-4.6667,-73.5167,73.15,73,29,2.19,PE,1627004543
Arkhara,49.4212,130.0842,87.15,57,23,7.31,RU,1627004543
Castro,-24.7911,-50.0119,47.19,63,0,3.47,BR,1627004543
Nantucket,41.2835,-70.0995,72.0,83,40,4.61,US,1627004518
Mar del Plata,-38.0023,-57.5575,55.99,71,0,13.8,AR,1627004458
Cidreira,-30.1811,-50.2056,58.3,87,51,14.85,BR,1627004288
Khatanga,71.9667,102.5,66.88,55,100,6.82,RU,1627004544
Ternate,0.8,127.4,82.99,75,23,11.48,ID,1627004544
Coquimbo,-29.9533,-71.3436,51.53,87,90,3.44,CL,1627004545
Hithadhoo,-0.6,73.0833,81.21,76,100,13.22,MV,1627004361
Hambantota,6.1241,81.1185,80.94,89,90,10.36,LK,1627004545
Rabat,33.9911,-6.8401,71.01,97,40,0.0,MA,1627004362
College,64.8569,-147.8028,82.38,40,40,9.22,US,1627004495
Manadhoo,5.7667,73.3833,82.49,75,100,17.05,MV,1627004546
Teguise,29.0605,-13.564,68.22,78,0,25.32,ES,1627004546
Antalaha,-14.9003,50.2788,68.34,85,51,8.28,MG,1627004546
Norman Wells,65.282,-126.8329,78.84,47,75,13.8,CA,1627004330
Mackay,-21.15,149.2,76.68,53,9,17.27,AU,1627004547
Gwanda,-20.9333,29.0,39.51,19,1,2.89,ZW,1627004547
Russell,32.3502,-85.1999,82.0,88,40,0.0,US,1627004547
Ponta Delgada,37.7333,-25.6667,65.12,82,75,4.61,PT,1627004548
Walvis Bay,-22.9575,14.5053,49.15,53,0,8.05,NA,1627004412
Bogorodskoye,56.55,37.8833,58.78,72,90,6.55,RU,1627004548
Port-Gentil,-0.7193,8.7815,74.34,78,100,12.12,GA,1627004011
Sandnessjøen,66.0217,12.6316,49.98,85,100,8.52,NO,1627004548
Tuktoyaktuk,69.4541,-133.0374,51.8,93,90,18.41,CA,1627004549
Tiksi,71.6872,128.8694,46.54,77,100,9.73,RU,1627004549
Maralal,1.0968,36.698,57.87,83,73,3.09,KE,1627004549
Nouadhibou,20.931,-17.0347,67.98,88,0,9.22,MR,1627004274
Camocim,-2.9022,-40.8411,78.39,78,12,15.84,BR,1627004550
Bagdarin,54.4333,113.6,72.72,58,11,3.29,RU,1627004550
San Cristobal,7.7669,-72.225,73.58,98,100,3.53,VE,1627004550
Güzelyurt,38.2772,34.3719,54.39,72,0,3.69,TR,1627004551
Lavrentiya,65.5833,-171.0,43.45,81,100,2.33,RU,1627004445
Riberalta,-10.9833,-66.1,71.94,52,0,2.68,BO,1627004509
Kahului,20.8947,-156.47,84.22,68,40,26.46,US,1627004551
Saint Anthony,45.0205,-93.218,83.35,65,20,3.0,US,1627004433
Pontianak,-0.0333,109.3333,82.38,89,40,9.22,ID,1627004552
Shimoda,34.6667,138.95,80.96,71,32,6.55,JP,1627004552
Royan,45.6285,-1.0281,71.58,69,89,8.43,FR,1627004552
Yar-Sale,66.8333,70.8333,54.5,57,100,8.46,RU,1627004553
Vardø,70.3705,31.1107,45.27,79,100,30.4,NO,1627004553
Kavaratti,10.5669,72.642,81.84,82,100,25.32,IN,1627004553
Tiarei,-17.5333,-149.3333,82.42,67,1,12.53,PF,1627004553
Praia da Vitória,38.7333,-27.0667,68.25,77,20,9.06,PT,1627004554
Alikovo,55.7383,46.7549,55.27,67,2,7.38,RU,1627004554
Port Moresby,-9.4431,147.1797,85.42,62,40,11.5,PG,1627004505
Acajutla,13.5928,-89.8275,87.8,73,100,5.7,SV,1627004554
Tasiilaq,65.6145,-37.6368,42.96,97,100,2.53,GL,1627004555
Ochamchira,42.7121,41.4721,68.7,87,76,3.15,GE,1627004555
Aykhal,66.0,111.5,68.61,38,67,7.38,RU,1627004008
Chāndūr Bāzār,21.2417,77.7456,75.99,87,100,6.02,IN,1627004555
Port Lincoln,-34.7333,135.8667,56.41,65,78,11.79,AU,1627004556
Airai,-8.9266,125.4092,74.14,24,10,2.89,TL,1627004556
Zyryanka,65.75,150.85,68.56,48,100,11.81,RU,1627004108
Nicoya,10.1483,-85.452,80.15,90,100,6.55,CR,1627004557
Altay,47.8667,88.1167,76.5,44,100,8.14,CN,1627004557
Kemijärvi,66.7131,27.4306,42.71,91,54,6.24,FI,1627004557
Abu Dhabi,24.4667,54.3667,98.62,34,0,5.75,AE,1627004364
Saint-Pierre,-21.3393,55.4781,65.84,63,0,9.22,RE,1627004321
Kruisfontein,-34.0033,24.7314,43.88,77,100,6.76,ZA,1627004558
Lithgow,-33.4833,150.15,50.86,81,100,8.7,AU,1627004558
Atambua,-9.1061,124.8925,82.35,38,16,0.85,ID,1627004558
Lebu,-37.6167,-73.65,50.43,84,100,7.14,CL,1627004474
Sinnamary,5.3833,-52.95,78.6,87,53,8.63,GF,1627004042
Iskateley,67.6803,53.1512,48.47,93,100,8.3,RU,1627004559
Grindavik,63.8424,-22.4338,55.56,100,90,17.27,IS,1627004559
Kondopoga,62.2057,34.2614,53.28,93,100,6.22,RU,1627004559
Grand Gaube,-20.0064,57.6608,70.38,70,16,7.0,MU,1627004560
Ndélé,8.4109,20.6473,66.69,98,98,2.62,CF,1627004482
Racine,42.7495,-88.0751,77.09,77,59,1.01,US,1627004560
Nome,64.5011,-165.4064,51.17,71,1,18.41,US,1627004501
Avera,33.194,-82.5271,82.71,76,54,3.65,US,1627004386
Katsuura,35.1333,140.3,87.15,68,17,6.53,JP,1627004560
Sambava,-14.2667,50.1667,70.14,81,47,11.68,MG,1627004561
Goundam,16.4145,-3.6708,89.6,48,66,18.79,ML,1627004561
Grants Pass,42.439,-123.3284,90.91,19,1,5.99,US,1627004561
Tuatapere,-46.1333,167.6833,50.83,65,15,5.46,NZ,1627004562
Ribeira Grande,38.5167,-28.7,68.38,78,9,7.25,PT,1627004313
Port Hueneme,34.1478,-119.1951,92.88,66,1,14.97,US,1627004562
Tura,25.5198,90.2201,80.42,87,41,5.03,IN,1627004562
Luba,3.4568,8.5547,76.89,86,100,9.4,GQ,1627004563
Tayu,-6.5397,111.0518,84.11,63,42,8.41,ID,1627004563
Champasak,14.75,106.0,77.88,99,100,1.9,LA,1627004563
Brigantine,39.4101,-74.3646,75.0,78,1,4.61,US,1627004563
Bilibino,68.0546,166.4372,65.91,34,91,1.97,RU,1627004564
Guerrero Negro,27.9769,-114.0611,72.81,75,100,14.63,MX,1627004391
Hamilton,39.1834,-84.5333,74.1,73,1,0.0,US,1627004295
Dingle,10.9995,122.6711,84.34,74,100,20.51,PH,1627004444
Liuli,-11.0833,34.6333,71.91,61,79,3.4,TZ,1627004564
Rechka Vydrino,51.485,104.8461,60.57,88,67,5.64,RU,1627004565
Provideniya,64.3833,-173.3,46.51,71,75,13.42,RU,1627004565
Laguna,38.421,-121.4238,99.75,22,1,5.01,US,1627004565
Mount Gambier,-37.8333,140.7667,48.11,81,90,12.66,AU,1627004566
Huarmey,-10.0681,-78.1522,65.14,82,15,8.37,PE,1627004566
Olinda,-8.0089,-34.8553,71.33,88,75,8.05,BR,1627004566
Nabire,-3.3667,135.4833,76.15,91,100,3.0,ID,1627004567
Collipulli,-37.95,-72.4333,46.69,88,100,3.71,CL,1627004567
Makakilo City,21.3469,-158.0858,84.52,58,90,12.66,US,1627004299
Bengkulu,-3.8004,102.2655,80.67,71,94,1.36,ID,1627004327
Bonavista,48.6499,-53.1147,52.12,94,96,9.6,CA,1627004567
Kavieng,-2.5744,150.7967,84.22,71,43,11.7,PG,1627004568
Lompoc,34.6391,-120.4579,77.41,76,75,8.01,US,1627004282
Marawi,7.9986,124.2928,77.11,70,89,9.46,PH,1627004059
Lingao,19.9103,109.6859,84.45,74,75,18.28,CN,1627004568
Carutapera,-1.195,-46.02,74.68,93,13,5.12,BR,1627004569
Bethel,41.3712,-73.414,72.75,80,20,0.0,US,1627004490
Salalah,17.0151,54.0924,78.89,94,90,9.22,OM,1627004569
Bridlington,54.0831,-0.1919,62.29,90,9,0.78,GB,1627004569
Vanimo,-2.6741,141.3028,81.82,84,94,4.03,PG,1627004569
Jimo,36.3897,120.4622,85.78,66,40,6.71,CN,1627004570
Necochea,-38.5473,-58.7368,49.03,72,100,9.84,AR,1627004570
Kununurra,-15.7667,128.7333,78.78,38,100,2.3,AU,1627004312
Sungai Raya,0.7,108.9,85.89,71,76,8.28,ID,1627004570
Chui,-33.6971,-53.4616,49.95,78,95,6.08,UY,1627004372
Ilhabela,-23.7781,-45.3581,61.52,87,12,3.83,BR,1627004571
Gadung,6.8025,124.02,83.52,75,100,8.41,PH,1627004571
Vao,-22.6667,167.4833,69.4,69,36,5.41,NC,1627004571
Sittwe,20.15,92.9,82.26,85,97,22.55,MM,1627004572
Srednekolymsk,67.45,153.6833,67.98,39,17,9.8,RU,1627004572
Boca do Acre,-8.7522,-67.3978,72.23,58,0,2.55,BR,1627004572
Pangnirtung,66.1451,-65.7125,46.4,87,75,10.36,CA,1627004573
George Town,5.4112,100.3354,85.89,74,20,1.01,MY,1627004573
Kieta,-6.2167,155.6333,83.82,75,34,6.55,PG,1627004573
Thunder Bay,48.4001,-89.3168,64.99,80,90,8.05,CA,1627004355
Winslow,35.0242,-110.6974,77.18,70,75,7.0,US,1627004573
Aburi,5.8472,-0.1775,73.11,80,68,6.67,GH,1627004574
Kaitangata,-46.2817,169.8464,51.93,53,14,4.7,NZ,1627004574
Miraflores,19.2167,-98.8083,63.25,85,85,2.77,MX,1627004574
Kabanjahe,3.1001,98.4908,63.36,74,99,3.91,ID,1627004575
Hutchinson,38.0608,-97.9298,86.04,48,0,3.0,US,1627004360
Berlevåg,70.8578,29.0864,43.39,80,99,25.12,NO,1627004425
Murgab,37.4966,61.9714,76.87,47,0,0.0,TM,1627004575
Nsanje,-16.92,35.262,67.69,90,3,4.0,MW,1627004575
Nikolskoye,59.7035,30.7861,60.8,81,95,5.44,RU,1627004357
Rubiataba,-15.1644,-49.8033,67.86,44,33,4.88,BR,1627004576
Adrar,20.5022,-10.0711,86.65,16,7,8.99,MR,1627004576
Arkhipovka,56.6629,41.2543,57.24,64,96,5.53,RU,1627004576
Benjamín Aceval,-24.9667,-57.5667,60.94,42,0,6.58,PY,1627004577
Price,39.5994,-110.8107,83.46,36,1,10.36,US,1627004577
Tessalit,20.1986,1.0114,84.72,48,99,9.37,ML,1627004577
Igarka,67.4667,86.5833,61.34,77,100,10.67,RU,1627004578
Rāzampeta,14.1833,79.1667,79.7,68,99,11.9,IN,1627004578
Syedove,47.0768,38.156,68.0,76,100,19.55,UA,1627004578
Garoowe,8.4054,48.4845,74.98,67,49,29.48,SO,1627004074
Philadelphia,39.9523,-75.1638,75.02,62,1,4.61,US,1627004579
Broken Hill,-31.95,141.4333,46.11,87,90,17.27,AU,1627003927
Kropotkin,45.4375,40.5756,66.45,92,100,7.23,RU,1627004579
Bow Island,49.8668,-111.3684,85.26,18,0,6.91,CA,1627004579
Kuala Terengganu,5.3302,103.1408,78.75,89,20,2.3,MY,1627004580
San Patricio,28.017,-97.5169,86.09,75,88,11.72,US,1627004580
Thinadhoo,0.5333,72.9333,82.24,73,100,11.72,MV,1627004580
Sobolevo,54.4299,31.8996,52.29,80,3,7.05,RU,1627004581
Rosetta,31.4044,30.4164,80.42,71,0,19.15,EG,1627004581
Lokosovo,61.1333,74.8167,70.99,74,39,11.77,RU,1627004581
Limbaži,57.5129,24.7194,61.03,97,13,3.98,LV,1627004582
Port Augusta,-32.5,137.7667,55.54,81,100,6.62,AU,1627004582
Cherskiy,68.75,161.3,63.48,64,100,4.45,RU,1627004582
Xinqing,48.2333,129.5,89.98,41,20,6.78,CN,1627004583
Khandyga,62.6667,135.6,76.57,53,100,0.49,RU,1627004496
Gigmoto,13.7796,124.39,85.14,75,100,18.41,PH,1627004583
Pāsighāt,28.0667,95.3333,88.38,68,4,2.64,IN,1627004583
St. George's,12.0564,-61.7485,82.08,83,20,9.22,GD,1627004584
Tezu,27.9167,96.1667,88.36,66,19,1.92,IN,1627004584
Horsham,51.064,-0.3272,65.44,75,0,5.75,GB,1627004078
Fort Nelson,58.8053,-122.7002,58.59,94,90,3.44,CA,1627004471
Torbay,47.6666,-52.7314,52.57,99,90,10.36,CA,1627004340
Bogo,11.0517,124.0055,86.54,63,99,15.55,PH,1627004584
Tautira,-17.7333,-149.15,82.42,68,2,11.14,PF,1627004585
San Policarpo,12.1791,125.5072,87.76,62,100,14.32,PH,1627004585
Half Moon Bay,37.4636,-122.4286,84.02,72,1,10.36,US,1627003812
Port Hedland,-20.3167,118.5667,75.25,46,8,8.05,AU,1627004585
Safi,32.2994,-9.2372,70.16,80,89,16.35,MA,1627004586
Pārvatipuram,18.7833,83.4333,81.21,81,92,3.33,IN,1627004586
Polunochnoye,60.8697,60.4153,53.26,98,100,9.69,RU,1627004586
Yeppoon,-23.1333,150.7333,71.38,51,0,10.02,AU,1627004587
Eilat,29.5581,34.9482,84.04,45,0,13.8,IL,1627004051
Garoua,9.3,13.4,70.92,96,100,3.36,CM,1627004587
Havelock,34.8791,-76.9013,79.03,84,20,1.01,US,1627004587
Kukmor,56.1855,50.8944,54.25,90,0,3.76,RU,1627004588
Santo Domingo,18.5001,-69.9886,80.28,87,21,4.34,DO,1627004497
Sulangan,11.1373,123.7228,84.88,71,100,21.09,PH,1627004588
Aripuanã,-9.1667,-60.6333,73.74,47,0,2.3,BR,1627004588
Taoudenni,22.6783,-3.9836,97.57,20,0,6.44,ML,1627004478
Rājmahal,25.05,87.8333,85.78,75,37,13.6,IN,1627004589
Marsh Harbour,26.5412,-77.0636,82.67,75,100,7.2,BS,1627004548
Henties Bay,-22.116,14.2845,55.78,73,0,3.65,NA,1627004589
São Raimundo das Mangabeiras,-7.0219,-45.4811,71.58,42,5,4.16,BR,1627004589
Preston,53.7667,-2.7167,69.67,73,71,3.0,GB,1627004473
Faanui,-16.4833,-151.75,77.95,68,10,14.81,PF,1627004562
Petra,30.3222,35.4793,66.72,62,0,11.63,JO,1627004590
Pecos,31.4229,-103.4932,93.29,24,1,9.22,US,1627004563
Tilichiki,60.4667,166.1,63.81,57,100,7.87,RU,1627004504
Narsaq,60.9167,-46.05,46.62,95,100,5.84,GL,1627004431
Salt,32.0392,35.7272,68.29,77,0,3.96,JO,1627004590
Noyabrsk,63.1994,75.4507,66.74,64,46,17.02,RU,1627004591
Dubbo,-32.25,148.6167,51.93,82,90,4.61,AU,1627004591
Rafaela,-31.2503,-61.4867,59.05,57,61,3.0,AR,1627004591
Vestmannaeyjar,63.4427,-20.2734,53.31,97,100,20.69,IS,1627004592
Severnyy,50.677,36.5532,55.44,71,0,6.71,RU,1627004592
Zhalantun,48.0,122.7167,81.41,72,95,12.08,CN,1627004592
Lamballe,48.4676,-2.5144,68.36,91,97,7.65,FR,1627004592
Lluta,-16.0147,-72.0142,52.07,37,96,0.92,PE,1627004593
Owando,-0.4819,15.8999,77.4,65,99,4.7,CG,1627004593
Tuy Hoa,13.0833,109.3,84.92,62,100,17.65,VN,1627004593
San Borja,-14.8167,-66.85,68.54,63,0,1.72,BO,1627004594
Kloulklubed,7.0419,134.2556,88.3,76,54,16.82,PW,1627004522
Diofior,14.1833,-16.6667,77.92,76,6,12.24,SN,1627004594
Yola,9.2,12.4833,73.49,93,100,2.64,NG,1627004594
Brae,60.3964,-1.353,51.71,78,100,6.71,GB,1627004033
Kalmar,56.6616,16.3616,65.97,76,5,5.75,SE,1627004595
Cham,47.1821,8.4636,66.61,81,46,0.0,CH,1627004595
Waverly,42.7392,-84.6208,73.33,63,1,5.75,US,1627004595
Inhambane,-23.865,35.3833,66.2,62,0,15.5,MZ,1627004596
Ulladulla,-35.35,150.4667,56.3,53,95,6.62,AU,1627004596
Jadu,31.953,12.0261,68.23,62,0,5.41,LY,1627004596
Taunggyi,20.7833,97.0333,65.19,95,100,3.87,MM,1627004596
Dukat,62.55,155.55,46.15,94,100,4.88,RU,1627004597
Belmonte,-15.8631,-38.8828,73.9,75,12,10.42,BR,1627004597
Vila Velha,-20.3297,-40.2925,64.35,94,40,3.44,BR,1627004532
Safford,32.834,-109.7076,94.12,33,20,12.66,US,1627004597
Tocache,-8.1842,-76.5125,70.05,82,40,0.65,PE,1627004598
Leshukonskoye,64.8989,45.7622,46.62,95,77,1.52,RU,1627004598
Padang,-0.9492,100.3543,82.45,69,46,1.88,ID,1627004598
Cloquet,46.7216,-92.4594,70.48,84,75,11.5,US,1627004495
Dushanbe,38.5577,68.7797,76.82,38,20,4.47,TJ,1627004599
Constitución,-35.3333,-72.4167,53.15,84,100,7.11,CL,1627004599
Lábrea,-7.2586,-64.7981,76.06,56,23,2.13,BR,1627004599
Stann Creek Town,16.9692,-88.2321,84.16,83,74,13.94,BZ,1627004600
Formosa,-26.1775,-58.1781,67.98,56,0,6.91,AR,1627004461
Nazarovo,56.0064,90.3914,68.31,62,2,10.2,RU,1627004600
Santa Marta,11.2408,-74.199,86.05,70,90,20.0,CO,1627004600
Bereda,43.2686,-7.5406,61.57,100,100,1.16,ES,1627004600
Aklavik,68.2191,-135.0107,61.63,54,45,18.61,CA,1627004601
Los Llanos de Aridane,28.6585,-17.9182,69.55,84,0,20.71,ES,1627004601
Usinsk,65.9939,57.5281,52.03,55,7,11.56,RU,1627004601
Talnakh,69.4865,88.3972,58.24,65,100,4.81,RU,1627004602
Normandin,48.8333,-72.5321,61.11,82,100,4.61,CA,1627004602
